name	abbreviation	equation	lowbnd	uppbnd	Present	obj_coef	rule	Knockout cost	Knockin cost	ProteinClass	subSystem
acetylornithine transaminase	ACOTA	[c] : acorn + akg <==> acg5sa + glu-L	-Inf	Inf	1	0	Gmet_0204	1	1	ArgD	Amino Acid Metabolism
acyl-carrier protein synthase	ACPS1	[c] : apoACP + coa --> ACP + h + pap	0	Inf	1	0	Gmet_1884	1	1	AcpS	Cofactor and Prosthetic Group Biosynthesis
acetyl-CoA synthetase	ACS	[c] : ac + atp + coa --> accoa + amp + ppi	0	Inf	1	0	Gmet_2340	1	1	AcsA	Carbohydrates and related molecules
acetyl-CoA synthase (propionate)	ACS2	[c] : atp + coa + ppa --> amp + ppcoa + ppi	0	Inf	1	0	Gmet_2340	1	1	AcsA	Carbohydrates and related molecules
acetate transport in via proton symport	ACt2	ac[e] + h[e] --> ac[c] + h[c]	0	Inf	1	0	Gmet_3288, Gmet_0739	1	1	ActP3, ActP2	Transport
4-aminobenzoate synthase	ADCL	[c] : 4adcho --> 4abz + h + pyr	0	Inf	1	0	Gmet_3010	1	1	PabABC	Amino Acid Metabolism
Adenosyl cobinamide kinase	ADCOBAK	[c] : adcoba + atp --> adcobap + adp + h	0	Inf	1	0	Gmet_0466	1	1	CobU	Vitamins & Cofactor Biosynthesis
adenosylcobinamide-phosphate synthase	ADCOBAS	[c] : 1ap2ol + adcobhex --> adcoba + h2o	0	Inf	1	0	Gmet_0486	1	1	CbiB	Vitamins & Cofactor Biosynthesis
adenosylcobyric acid synthase	ADCOBHEXS	[c] : adcobdam + (4) atp + (4) gln-L + (4) h2o --> adcobhex + (4) adp + (4) glu-L + (4) h + (4) pi	0	Inf	1	0	Gmet_0485	1	1	CbiP-CbiH	Vitamins & Cofactor Biosynthesis
adenosylcobinamide-phosphate synthase	ADCPS2	[c] : 1ap2olp + adcobhex + atp --> adcobap + adp + h + pi	0	Inf	1	0	Gmet_0486	1	1	CbiB	Vitamins & Cofactor Biosynthesis
4-amino-4-deoxychorismate synthase	ADCS	[c] : chor + gln-L --> 4adcho + glu-L	0	Inf	1	0	Gmet_3010	1	1	PabABC	Amino Acid Metabolism
adenine deaminase	ADD	[c] : ade + h + h2o --> hxan + nh4	0	Inf	1	0	Gmet_2201	1	1	AdeC	Nucleotides and nucleic acids
adenylate kinase	ADK1	[c] : amp + atp <==> (2) adp	-Inf	Inf	1	0	Gmet_0647	1	1	Adk	Nucleotide Metabolism
adenylate kinase (Inorganic triphosphate)	ADK2	[c] : amp + pppi <==> adp + ppi	-Inf	Inf	1	0	Gmet_0647	1	1	Adk	Nucleotide Metabolism
guanylate kinase (aMP:gTP)	ADK3	[c] : amp + gtp <==> adp + gdp	-Inf	Inf	1	0	Gmet_0647	1	1	Adk	Nucleotide Metabolism
adentylate kinase (ITP)	ADK4	[c] : amp + itp <==> adp + idp	-Inf	Inf	1	0	Gmet_0647	1	1	Adk	Nucleotide Metabolism
adenosine kinase	ADNK1	[c] : adn + atp --> adp + amp + h	0	Inf	1	0	Gmet_0647	1	1	Adk	Nucleotide Metabolism
ADPribose diphosphatase	ADPRDP	[c] : adprib + h2o --> amp + (2) h + r5p	0	Inf	1	0	Gmet_0048	1	1	NudF	Nucleotide Metabolism
adenine phosphoribosyltransferase	ADPT	[c] : ade + prpp --> amp + ppi	0	Inf	1	0	Gmet_1422	1	1	Apt	Nucleotide Metabolism
adenylosuccinate lyase	ADSL1	[c] : dcamp --> amp + fum	0	Inf	1	0	Gmet_1943	1	1	PurB	Nucleotide Metabolism
adenylosuccinate lyase	ADSL2	[c] : 25aics --> aicar + fum	0	Inf	1	0	Gmet_1943	1	1	PurB	Nucleotide Metabolism
adenylosuccinate synthetase	ADSS	[c] : asp-L + gtp + imp --> dcamp + gdp + (2) h + pi	0	Inf	1	0	Gmet_3260	1	1	PurA	Nucleotide Metabolism
1-acylglycerol-3-phosphate O-acyltransferase	AGPAT	[c] : 12dag3p + coa --> 1ag3p + acoa	0	Inf	1	0	Gmet_0363, Gmet_0934	1	1	PlsC1, PlsC2	Lipid & Cell Wall Metabolism
N-acetyl-g-glutamyl-phosphate reductase	AGPR	[c] : acg5sa + nadp + pi <==> acg5p + h + nadph	-Inf	Inf	1	0	Gmet_0608	1	1	ArgC	Amino Acid Metabolism
adenosylhomocysteinase	AHC	[c] : ahcys + h2o <==> adn + hcys-L	-Inf	Inf	1	0	Gmet_1294	1	1	AhcY	Amino Acid Metabolism
adenosylhomocysteine nucleosidase	AHCYSNS	[c] : ahcys + h2o --> ade + rhcys	0	Inf	1	0	Gmet_1274, Gmet_3381	1	1	Pfs1, Pfs2	Nucleotide Metabolism
4-amino-5-hydroxymethyl-2-methylpyrimidine synthetase	AHMMPS	[c] : air + h2o --> 4ahmmp + gcald + (0.5) o2 + pi	0	Inf	1	0	Gmet_2910, Gmet_0471	1	1	ThiC , ThiC2	Vitamins & Cofactor Biosynthesis
phosphoribosylaminoimidazolecarboxamide formyltransferase	AICART	[c] : 10fthf + aicar <==> fprica + thf	-Inf	Inf	1	0	Gmet_2905	1	1	PurH	Nucleotide Metabolism
phosphoribosylaminoimidazole carboxylase	AIRC	[c] : air + co2 --> 5aizc + h	0	Inf	1	0	Gmet_2903	1	1	PurK	Nucleotide Metabolism
2-oxoglutarate dehydrogenase	AKGD	[c] : akg + coa + nad --> co2 + nadh + succoa	0	Inf	1	0	Gmet_2766, Gmet_2764, Gmet_2769, Gmet_1896	1	1	SucA+SucB+Lpd2, SucA+Lpd+SucB	Central Metabolism
D-alanine-D-alanine ligase (reversible)	ALAALA	[c] : (2) ala-D + atp <==> adp + alaala + h + pi	-Inf	Inf	1	0	Gmet_0415	1	1	Ddl	Lipid & Cell Wall Metabolism
L-alanine dehydrogenase	ALAD_L	[c] : ala-L + h2o + nad --> h + nadh + nh4 + pyr	0	Inf	1	0	Gmet_1099	1	1	Ald	Amino Acid Metabolism
alanine racemase	ALAR	[c] : ala-L <==> ala-D	-Inf	Inf	1	0	Gmet_2908	1	1	Alr	Lipid & Cell Wall Metabolism
L-alanine transaminase	ALATA_L	[c] : akg + ala-L <==> glu-L + pyr	-Inf	Inf	1	0	Gmet_3325	1	1	AlaT	Alanine Metabolism
Alanyl-tRNA synthetase	ALATRS	[c] : ala-L + atp + trnaala --> alatrna + amp + ppi	0	Inf	1	0	Gmet_0201	1	1	AlaS	Amino Acid Metabolism
alcohol dehydrogenase (ethanol: NAD)	ALCD2x	[c] : etoh + nad <==> acald + h + nadh	-Inf	Inf	1	0	Gmet_1046	1	1	Adh4	Alternate Carbon Metabolism
alcohol dehydrogenase (propanol: NAD)	ALCD3	[c] : nad + ppoh <==> h + nadh + ppal	-Inf	Inf	1	0	Gmet_1053	1	1	DhaT	Central Metabolism
aldehyde dehydrogenase (acetaldehyde, NAD)	ALDD2x	[c] : acald + h2o + nad --> ac + (2) h + nadh	0	Inf	1	0	Gmet_0789	1	1	AldH	Amino Acid Metabolism
N-acetylmuramoyl-L-alanine amidase	AMAA	[c] : acmama + h2o --> acmam + ala-L	0	Inf	1	0	Gmet_1425	1	1	AmiA1	Lipid & Cell Wall Metabolism
Amylomaltase (maltotriose)	AMALT1	[c] : malt + malttr --> glc-D + maltttr	0	Inf	1	0	Gmet_2391	1	1	MalQ	Alternate Carbon Metabolism
Amylomaltase (maltotetraose)	AMALT2	[c] : malt + maltttr --> glc-D + maltpt	0	Inf	1	0	Gmet_2391	1	1	MalQ	Alternate Carbon Metabolism
Amylomaltase (maltopentaose)	AMALT3	[c] : malt + maltpt --> glc-D + malthx	0	Inf	1	0	Gmet_2391	1	1	MalQ	Alternate Carbon Metabolism
Amylomaltase (maltohexaose)	AMALT4	[c] : malt + malthx --> glc-D + malthp	0	Inf	1	0	Gmet_2391	1	1	MalQ	Alternate Carbon Metabolism
adenosylmethionine-8-amino-7-oxononanoate transaminase	AMAOT	[c] : 8aonn + amet <==> amob + dann	-Inf	Inf	1	0	Gmet_1580	1	1	BioA	Vitamins & Cofactor Biosynthesis
S-adenosylmethione:2-demethylmenaquinone methyltransferase	AMMQT8_2	[c] : 2dmmq8 + amet --> ahcys + h + mqn8	0	Inf	1	0	Gmet_1167	1	1	UbiE	Cofactor and Prosthetic Group Biosynthesis
anthranilate phosphoribosyltransferase	ANPRT	[c] : anth + prpp --> ppi + pran	0	Inf	1	0	Gmet_2495	1	1	TrpD	Amino Acid Metabolism
anthranilate synthase	ANS1	[c] : chor + gln-L --> anth + glu-L + h + pyr	0	Inf	1	0	Gmet_2496, Gmet_2497	1	1	TrpE+TrpG	Amino Acid Metabolism
antimonite  transporter via uniport	ANTIMt1	antim[c] --> antim[e]	0	Inf	1	0	Gmet_0520, Gmet_1382	1	1	ArsB, ArsB2	Transport
8-amino-7-oxononanoate synthase	AOXS	[c] : ala-L + h + pmcoa <==> 8aonn + co2 + coa	-Inf	Inf	1	0	Gmet_0842	1	1	BioF	Vitamins & Cofactor Biosynthesis
apolipoprotein N-acyl transferase	APAT	[c] : accoa + h2o + thdp <==> acamoxm + coa	-Inf	Inf	1	0	Gmet_2367	1	1	CutE	Amino Acid Metabolism
5-amino-6-(5-phosphoribosylamino)uracil reductase	APRAUR	[c] : 5apru + h + nadph --> 5aprbu + nadp	0	Inf	1	0	Gmet_1624	1	1	RibD	Vitamins & Cofactor Biosynthesis
adenosine 5'-phosphosulfate reductase;	APSPT	[c] : aps + trdrd <==> amp + (2) h + so3 + trdox	-Inf	Inf	1	0	Gmet_2858	1	1	CysH	Other
3-Fumarylpyruvate acylhydrolase	APYRH	[c] : 3fpyr + h2o --> fum + h + pyr	0	Inf	1	0	Gmet_2937	1	1	P_3.7.1.5	Benzoate Degradation
4-amino-4-deoxy-L-arabinose transferase	ARA4NT	[c] : (2) ara4n-L + (2) h + lipa --> ara4n-lipa + (2) h2o	0	Inf	1	0	Gmet_0887	1	1	ArnT	Lipid & Cell Wall Metabolism
arginine decarboxylase	ARGDC	[c] : arg-L + h --> agm + co2	0	Inf	1	0	Gmet_0904	1	1	SpeA	Amino Acid Metabolism
argininosuccinate lyase	ARGSL	[c] : argsuc <==> arg-L + fum	-Inf	Inf	1	0	Gmet_0209	1	1	ArgH	Amino Acid Metabolism
argininosuccinate synthase	ARGSS	[c] : asp-L + atp + citr-L --> amp + argsuc + h + ppi	0	Inf	1	0	Gmet_0206	1	1	ArgG	Amino Acid Metabolism
Arginyl-tRNA synthetase	ARGTRS	[c] : arg-L + atp + trnaarg --> amp + argtrna + ppi	0	Inf	1	0	Gmet_1434	1	1	ArgS	Amino Acid Metabolism
Arsenate transporter	ARSNAt1	arsna[c] --> arsna[e]	0	Inf	1	0	Gmet_0520, Gmet_1382	1	1	ArsB2, ArsB	Transport
arsenite transporter via uniport	ARSt1	arsni2[c] --> arsni2[e]	0	Inf	1	0	Gmet_0520, Gmet_1382	1	1	ArsB2, ArsB	Transport
aspartate-semialdehyde dehydrogenase	ASAD	[c] : aspsa + nadp + pi <==> 4pasp + h + nadph	-Inf	Inf	1	0	Gmet_0603, Gmet_0604	1	1	Asd, Asd1	Amino Acid Metabolism
asparagine synthase (glutamine-hydrolysing)	ASNS1	[c] : asp-L + atp + gln-L + h2o --> amp + asn-L + glu-L + h + ppi	0	Inf	1	0	Gmet_2172, Gmet_2024	1	1	AsnB1, AsnB	Amino acids and related molecules
Asparaginyl-tRNA synthetase	ASNTRS	[c] : asn-L + atp + trnaasn --> amp + asntrna + ppi	0	Inf	1	0	Gmet_2412	1	1	AsnS	Amino Acid Metabolism
aspartate 1-decarboxylase	ASP1DC	[c] : asp-L + h --> ala-B + co2	0	Inf	1	0	Gmet_1644	1	1	Gad	Amino Acid Metabolism
aspartate carbamoyltransferase	ASPCT	[c] : asp-L + cbp --> cbasp + h + pi	0	Inf	1	0	Gmet_1769	1	1	PyrB	Nucleotide Metabolism
aspartate kinase	ASPK	[c] : asp-L + atp <==> 4pasp + adp	-Inf	Inf	1	0	Gmet_1880	1	1	AspK	Amino Acid Metabolism
L-aspartate oxidase	ASPO1	[c] : asp-L + nad --> (2) h + iasp + nadh	0	Inf	1	0	Gmet_1954	1	1	NadB	Amino Acid Metabolism
L-aspartase	ASPT	[c] : asp-L --> fum + nh4	0	Inf	1	0	Gmet_3082	1	1	AspA	Amino Acid Metabolism
aspartate transaminase	ASPTA1	[c] : akg + asp-L <==> glu-L + oaa	-Inf	Inf	1	0	Gmet_0213, Gmet_3433, Gmet_0732	1	1	AspB4, AspB3, AspB	Amino Acid Metabolism
Aspartyl-tRNA synthetase	ASPTRS	[c] : asp-L + atp + trnaasp --> amp + asptrna + ppi	0	Inf	1	0	Gmet_1357	1	1	AspS	Amino Acid Metabolism
acetate CoA-transferase	ATO	[c] : ac + succoa --> accoa + succ	0	Inf	1	0	Gmet_3044, Gmet_1125, Gmet_1730	1	1	AtoA2, AtoA3, AtoA1	Central Metabolism
ATP maintenance requirment	ATPM	[c] : atp + h2o --> adp + h + pi	0.45	0.45	1	0		1	1		Energy Metabolism
ATP phosphoribosyltransferase	ATPPRT	[c] : atp + prpp --> ppi + prbatp	0	Inf	1	0	Gmet_0383, Gmet_1898	1	1	HisG2, HisG 	Amino Acid Metabolism
ATP synthase (four protons for one ATP)	ATPS4	adp[c] + (4) h[e] + pi[c] --> atp[c] + (3) h[c] + h2o[c]	0	Inf	1	0	Gmet_3406_OR_Gmet_3359_OR_Gmet_3410_OR_Gmet_3409_OR_Gmet_3360_OR_Gmet_3408_OR_Gmet_3411_OR_Gmet_3407_OR_Gmet_3405	1	1	AtpABCDEFGHI	Transport
biotin-[acetyl-CoA-carboxylase] ligase	BACCL	[c] : atp + btn + h --> btamp + ppi	0	Inf	1	0	Gmet_1987	1	1	BirA	Cofactor and Prosthetic Group Biosynthesis
benzoate CoA ligase	BCOALIG	[c] : atp + bz + coa <==> amp + benzcoa + ppi	-Inf	Inf	1	0	Gmet_2146, Gmet_2143	1	1	BclA1, BclA	Aromatic Compound degradation
benzoylCoA reductase	BCR	[c] : (2) atp + benzcoa + (2) h2o + nadh <==> (2) adp + ch15deccoa + h + nad + (2) pi	-Inf	Inf	1	0	Gmet_2087	1	1	BamB	Aromatic Compound degradation
Benzaldehyde dehydrogenase	BEALD	[c] : bzal + h2o + nad <==> bz + (2) h + nadh	-Inf	Inf	1	0	Gmet_2131	1	1	Bdh	Aromatic Compound degradation
Benzyl alcohol dehydrogenase	BENAD	[c] : bzalc + nad <==> bzal + h + nadh	-Inf	Inf	1	0	Gmet_2235	1	1	Bad	Aromatic Compound degradation
benzoylsuccinyl-CoA thiolase	BSCT	[c] : bsuccoa + coa <==> benzcoa + succoa	-Inf	Inf	1	0	Gmet_1528_OR_Gmet_1529	1	1	BbsAB	Aromatic Compound degradation
Butyryl-[acyl-carrier protein]:malonyl-CoA C-acyltransferase	BTMAT1	[c] : 2beACP + h + nadh --> butACP + nad	0	Inf	1	0	Gmet_2558	1	1	FabI	Fatty Acid Synthesis
Biotin synthase	BTS	[c] : dtbt + (2) s --> btn + h + h2s	0	Inf	1	0	Gmet_1582	1	1	BioB	Vitamins & Cofactor Biosynthesis
butyrate kinase	BUTKr	[c] : atp + but <==> adp + butpi	-Inf	Inf	1	0	Gmet_2106, Gmet_2128	1	1	Buk, Buk1	Carbohydrates and related molecules
butanesulfonate transport via ABC system	BUTSabc	atp[c] + buts[e] + h2o[c] --> adp[c] + buts[c] + h[c] + pi[c]	0	Inf	1	0	Gmet_1899, Gmet_1901, Gmet_1900, Gmet_0998, Gmet_0997, Gmet_0996	1	1	SsuA+SsuC+SsuB, SsuC1+SsuA1+SsuB1	Transport
Butyrate transport via proton symport, reversible	BUTt2	but[e] + h[e] <==> but[c] + h[c]	-Inf	Inf	1	0		1	1		Transport
benzyl alcohol transport via diffusion	BZALCt	bzalc[e] <==> bzalc[c]	-Inf	Inf	1	0	Gmet_1535	1	1	TodX	Transport
Benzaldehyde transport via diffusion	BZALt	bzal[e] <==> bzal[c]	-Inf	Inf	1	0	Gmet_1535	1	1	TodX	Transport
benzylsuccinyl-CoA dehydrogenase	BZSCD	[c] : bzsuccoa + fad <==> fadh2 + phitcoa	-Inf	Inf	1	0	Gmet_1523	1	1	BbsG	Aromatic Compound degradation
benzylsuccinate CoA-transferase	BZSCT	[c] : bzsucc + succoa <==> bzsuccoa + succ	-Inf	Inf	1	0	Gmet_1522_OR_Gmet_1521	1	1	BbsEF	Aromatic Compound degradation
benzylsuccinate synthase	BZSS	[c] : fum + tol <==> bzsucc	-Inf	Inf	1	0	Gmet_1539_OR_Gmet_1540_OR_Gmet_1538_OR_Gmet_1541	1	1	BssABCD	Aromatic Compound degradation
benzoate transport in/out via proton symport	BZt6	bz[e] + h[e] <==> bz[c] + h[c]	-Inf	Inf	1	0		1	1		Transport
calcium transport via ABC system	CA2abc	atp[c] + ca2[e] + h2o[c] --> adp[c] + ca2[c] + h[c] + pi[c]	0	Inf	1	0	Gmet_3497	1	1	Cadp	Transport
calcium efflux  via ABC system	CA2abc1	atp[c] + ca2[c] + h2o[c] --> adp[c] + ca2[e] + h[c] + pi[c]	0	Inf	1	0	Gmet_1614	1	1	Cat	Transport
Cobinamide adenyltransferase	CBIAT	[c] : atp + cbi + h2o <==> adcoba + pi + ppi	-Inf	Inf	1	0	Gmet_1573	1	1	BtuR	Vitamins & Cofactor Biosynthesis
cob(I)alamin adenosyltransferase	CBLAT	[c] : atp + cbl1 + h2o <==> cobamcoa + pi + ppi	-Inf	Inf	1	0	Gmet_1573	1	1	BtuR	Vitamins & Cofactor Biosynthesis
carbamate kinase	CBMK	[c] : atp + cbm --> adp + cbp	0	Inf	1	0	Gmet_2786	1	1	ArcC	Central Metabolism
carbamoyl-phosphate synthase (glutamine-hydrolysing)	CBPS	[c] : (2) atp + gln-L + h2o + hco3 --> (2) adp + cbp + glu-L + (2) h + pi	0	Inf	1	0	Gmet_1774_OR_Gmet_1771_AND_ Gmet_0661_OR_Gmet_1771	1	1	CarAB, CarAB1	Nucleotide Metabolism
Carboxynorspermidine decarboxylase	CBSDC	[c] : 2cddin + nad --> 56dhin + co2 + nadh	0	Inf	1	0	Gmet_0903	1	1	NspC	Other
cadminum transport out via antiport	CD2t4	cd2[c] + h[e] + k[e] --> cd2[e] + h[c] + k[c]	0	Inf	1	0	Gmet_3508_OR_Gmet_3509_OR_Gmet_3507	1	1	CzcA	Transport
CDPdiacylglycerol:sn-glycerol-3-phosphate 3-phosphatidyltransferase	CDGPT	[c] : cdpdag + glyc3p --> cmp + h + pglyp	0	Inf	1	0	Gmet_1952, Gmet_0822	1	1	Pgs1A, PgsA	Lipid & Cell Wall Metabolism
CDPdiacylglycerol-serine O-phosphatidyltransferase	CDPDSP	[c] : cdpdag + ser-L --> cmp + h + ps	0	Inf	1	0	Gmet_1264	1	1	PssA1	Lipid & Cell Wall Metabolism
4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	CDPMEK	[c] : 4c2me + atp --> 2p4c2me + adp + h	0	Inf	1	0	Gmet_2849	1	1	IspE	Vitamins & Cofactor Biosynthesis
Cyclohexa-1,5-dienecarbonyl-CoA hydro-lyase	CHDCCH	[c] : ch15deccoa + h2o <==> 6hch1eccoa	-Inf	Inf	1	0	Gmet_2150	1	1	Dch	Aromatic Compound degradation
